Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.8763223,5.033069183,5.069785901,5.17429154,5.01928768,-2.065004941,3.691240112
"Iran, Islamic Rep.",IRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.424884939,8.815086643,2.758505246,-2.253863607,-2.658206662,3.330288459,4.719777732
Iraq,IRQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.722864019,13.78737302,-1.819750351,2.633850991,5.513790575,-11.32419926,2.783335435
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,24.37044535,2.006654115,9.005342424,8.527541391,5.440937334,6.184538039,13.58824711
Isle of Man,IMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.385798408,6.952311475,4.688811187,2.213403992,0.25486132,..,..
Israel,ISR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.485826289,4.521680309,4.276595951,4.070321887,4.156137989,-1.857289278,8.611990348
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.778304351,1.293462732,1.667859041,0.925810941,0.483198317,-9.039953411,6.737277123
Jamaica,JAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.921487125,1.375223064,0.997123062,1.889923681,0.892291654,-10,4.6
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.560626697,0.753826746,1.675331752,0.584068067,-0.240350841,-4.506904542,1.657071117
Jordan,JOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.496528695,1.994180818,2.473598525,1.91907105,1.927372025,-1.569473361,2.228138413
Kazakhstan,KAZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.2,1.1,4.1,4.1,4.5,-2.5,4.3
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.967721128,4.213517068,3.837958174,5.647946407,5.114158858,-0.250155705,7.517355387
Kiribati,KIR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.865174721,-0.478196755,-0.244658832,5.274150125,-0.539607341,-0.547003796,1.499998904
"Korea, Dem. People's Rep.",PRK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..
"Korea, Rep.",KOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.809103268,2.946881715,3.15963574,2.907403774,2.24397786,-0.709415359,4.145323954
Kosovo,XKX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.916270444,5.571756507,4.825690427,3.406631008,4.756830619,-5.340275302,10.74561161
Kuwait,KWT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.593019617,2.925868226,-4.712106209,2.433981268,-0.551959288,-8.855278923,..
Kyrgyz Republic,KGZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.875825448,4.335855917,4.739937225,3.757910125,4.600625666,-8.398364296,3.610612695
Lao PDR,LAO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.270065843,7.022836255,6.892530873,6.247960008,5.457735092,0.50303183,2.528351001
Latvia,LVA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.885260054,2.368614747,3.312475936,3.991854505,2.569703888,-2.202985338,4.068073863
Lebanon,LBN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.462320792,1.55454941,0.782014001,-1.702174807,-7.15724707,-21.39989992,-7.00123936
Lesotho,LSO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.127557724,3.605400048,-3.138174923,0.071538723,0.92750332,-8.356395734,1.347623155
Liberia,LBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.01856497,-1.554958617,2.45515592,1.157575122,-2.467297635,-2.982491276,4.986712835
Libya,LBY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.842656252,-1.490941117,32.49180219,7.941367853,-11.19569459,-23.92978245,31.37242223
Liechtenstein,LIE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..
Lithuania,LTU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.024583955,2.518828273,4.282596951,3.993310328,4.625103139,-0.021762974,5.981032113
Luxembourg,LUX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.269784484,4.978190437,1.317187663,1.219321919,2.319925201,-0.797435589,5.102455447
"Macao SAR, China",MAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-21.51440527,-0.679060845,9.983305509,6.464667694,-2.511937846,-54.23590002,19.26705638
Madagascar,MDG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.132298073,3.993146064,3.933307595,3.194356515,4.41123213,-7.137671622,4.40234
Malawi,MWI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.8,2.484040626,4.000030516,4.391688296,5.448181336,0.799998331,2.751416408
